,kwan_num,kwan
0,1,승연관
1,3,월당관
2,M,미가엘관
3,9,성미가엘성당&피츠버그홀
4,7,새천년관
5,6,정보과학관
6,B,일만관
7,5,나눔관
8,8,중앙도서관
