,kind,code,class_name,prof,room,date1,date2,start,end
0,교필,AK00055,비아메디아채플(나와타인이해하기),이남호,1505,월,,11:00,11:50
1,교필,AK00055,비아메디아채플(리더십의영성),김한승,3501,월,,11:00,11:50
2,교필,AK00055,비아메디아채플(서양음악사),박태영,M301,월,,11:00,11:50
3,교필,AK00055,비아메디아채플(성공회이야기),노철래,3301,목,,11:00,11:50
4,교필,AK00055,비아메디아채플(시각과영성),김돈회,M406,월,,11:00,11:50
5,교필,AK00055,비아메디아채플(열린성공회예배),미지정,9301,목,,11:00,11:50
6,교필,AK00055,비아메디아채플(예술치료와영성),이현지,M407,월,,11:00,11:50
7,교필,AK00055,비아메디아채플(음악이들려주는성서이야기),차피득,9301,월,,11:00,11:50
8,교필,AK00055,비아메디아채플(인간심리와기독교명상),이종민,7205,목,,11:00,11:50
9,교필,AK00055,비아메디아채플(쟁점으로만나는그리스도교),김종훈,3401,목,,11:00,11:50
10,교필,AK00055,비아메디아채플(정신분석으로바라본애착관계와영성),김미희,1503,목,,11:00,11:50
11,교필,AK00055,비아메디아채플(함께나누는세상),양만호,M402,월,,11:00,11:50
12,교필,AC00003,사회봉사I,노철래,7207,수,,10:30,11:45
13,교필,AC00003,사회봉사I,노철래,7207,목,,10:30,11:45
14,교필,AC00012,대학생활세미나I(미디어융합1반),최진봉,3301,금,,10:00,11:50
15,교필,AC00012,대학생활세미나I(미디어융합2반),박남기,3402,금,,10:00,11:50
16,교필,AC00012,대학생활세미나I(미디어융합3반),최진봉,3301,금,,13:00,14:50
17,교필,AC00012,대학생활세미나I(미디어융합4반),이영아,3402,금,,13:00,14:50
18,교필,AC00012,대학생활세미나I(사회융합1반),송재민,7204,금,,10:00,11:50
19,교필,AC00012,대학생활세미나I(사회융합2반),조미혜,7205,금,,10:00,11:50
20,교필,AC00012,대학생활세미나I(사회융합3반),남일성,7206,금,,10:00,11:50
21,교필,AC00012,대학생활세미나I(사회융합4반),차피득,7202,금,,10:00,11:50
22,교필,AC00012,대학생활세미나I(사회융합5반),최우석,7204,금,,13:00,14:50
23,교필,AC00012,대학생활세미나I(사회융합6반),강성현,7205,금,,13:00,14:50
24,교필,AC00012,대학생활세미나I(사회융합7반),오현화,7206,금,,13:00,14:50
25,교필,AC00012,대학생활세미나I(사회융합8반),조경희,7202,금,,13:00,14:50
26,교필,AC00012,대학생활세미나I(인문융합1반),김혜인,7304,금,,10:00,11:50
27,교필,AC00012,대학생활세미나I(인문융합2반),이남주,7305,금,,10:00,11:50
28,교필,AC00012,대학생활세미나I(인문융합3반),이주엽,7306,금,,10:00,11:50
29,교필,AC00012,대학생활세미나I(인문융합4반),미지정,7307,금,,10:00,11:50
30,교필,AC00012,대학생활세미나I(인문융합5반),김혜인,7304,금,,13:00,14:50
31,교필,AC00012,대학생활세미나I(인문융합6반),윤영도,7305,금,,13:00,14:50
32,교필,AC00012,대학생활세미나I(인문융합7반),이주엽,7306,금,,13:00,14:50
33,교필,AC00012,대학생활세미나I(인문융합8반),차피득,7307,금,,13:00,14:50
34,교필,AC00012,대학생활세미나I(IT융합1반),김선형,6201,금,,10:00,11:50
35,교필,AC00012,대학생활세미나I(IT융합2반),이하규,6404,금,,10:00,11:50
36,교필,AC00012,대학생활세미나I(IT융합3반),정연식,6109,금,,10:00,11:50
37,교필,AC00012,대학생활세미나I(IT융합4반),이상윤,6405,금,,10:00,11:50
38,교필,AC00012,대학생활세미나I(IT융합5반),김선형,6201,금,,13:00,14:50
39,교필,AC00012,대학생활세미나I(IT융합6반),이하규,6404,금,,13:00,14:50
40,교필,AC00012,대학생활세미나I(IT융합7반),정연식,6109,금,,13:00,14:50
41,교필,AC00012,대학생활세미나I(IT융합8반),이상윤,6405,금,,13:00,14:50
42,교필,AC00013,말과글,오현화,1504,수,,09:00,10:50
43,교필,AC00013,말과글,오현화,1504,수,,11:00,12:50
44,교필,AC00013,말과글,박미란,1505,수,,09:00,10:50
45,교필,AC00013,말과글,박미란,1505,수,,11:00,12:50
46,교필,AC00013,말과글,오현화,1504,목,,09:00,10:50
47,교필,AC00013,말과글,오현화,1504,목,,11:00,12:50
48,교필,AC00013,말과글,최종환,1505,목,,09:00,10:50
49,교필,AC00013,말과글,최종환,1505,목,,11:00,12:50
50,교필,AC00007,인권과평화,강성현,M301,화,,10:00,11:50
51,교필,AC00007,인권과평화,신익상,7207,화,,10:00,11:50
52,교필,AC00007,인권과평화,이남주,7208,화,,10:00,11:50
53,교필,AC00007,인권과평화,양경은,7308,화,,10:00,11:50
54,교필,AC00007,인권과평화,조경희,7309,화,,10:00,11:50
55,교필,AC00007,인권과평화,이상윤,3402,화,,10:00,11:50
56,교필,AC00016,과학기술과에콜로지,"김명철
김병수",7208,금,,10:00,11:50
57,교필,AC00016,과학기술과에콜로지,"김병수
신익상",7309,금,,10:00,11:50
58,교필,AC00016,과학기술과에콜로지,"김명철
신익상",M402,금,,10:00,11:50
59,교필,AC00016,과학기술과에콜로지,"김명철
김병수",7208,금,,13:00,14:50
60,교필,AC00016,과학기술과에콜로지,"김병수
신익상",7309,금,,13:00,14:50
61,교필,AC00016,과학기술과에콜로지,"김명철
신익상",M402,금,,13:00,14:50
62,교필,AC00015,데이터활용및분석,윤명호,M401,금,,10:00,11:50
63,교필,AC00015,데이터활용및분석,윤명호,M401,금,,13:00,14:50
64,교필,AC00015,데이터활용및분석,유상신,3302,금,,10:00,11:50
65,교필,AC00015,데이터활용및분석,박정식,3302,금,,13:00,14:50
66,교필,AC00015,데이터활용및분석,이해신,B105,금,,10:00,11:50
67,교필,AC00015,데이터활용및분석,이해신,B105,금,,13:00,14:50
68,교선,AD00177,고전문학톺아읽기,신동옥,3301,수,,09:00,11:50
69,교선,AE00014,한국사회와노동문제,하종강,3402,목,,15:00,17:50
70,교선,AK00025,현대사회와법1,이기덕,3502,화,,15:00,17:50
71,교선,AK00041,정치의대결,이광일,7309,목,,12:00,14:50
72,교선,AD00021,군대와사회,김엘리,1505,수,,15:00,17:50
73,교선,AE00017,여성평화생명,이숙진,7205,월,,09:00,11:50
74,교선,AE00019,국제질서의이해,이남주,6110,화,목,16:30,17:45
75,"교선, 전선",AE00104,대안경제와생태사회,신익상,3301,목,,12:00,14:50
